bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,17.40,0.60,0.60
,The Fate of x1.425,stamina,light jumpstream,18,18.20,-0.20,0.20
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,16.80,1.20,1.20
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,18.40,-0.60,0.60
,Exitium(eta),tech,stream tech,17.2,17.00,0.20,0.20
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,16.40,0.80,0.80
,Torment Payback,jack,high chordjack,17.2,17.20,0.00,0.00
,Collapse of Ego,stamina,dense jumpstream,16.8,16.60,0.20,0.20
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.40,0.20,0.20
,northern limit(haku) x1.1,tech,stream tech,16.4,15.80,0.60,0.60
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.20,0.20,0.20
,Angel Dust(spz),stamina,light handstream,16.4,16.60,-0.20,0.20
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.80,-0.40,0.40
,Nijuu(zeta),stamina,dense handstream,16.2,15.60,0.60,0.60
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.00,0.20,0.20
,Apocalyptic Premonition x1.05,tech,stream tech,16,15.80,0.20,0.20
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.20,-0.20,0.20
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.00,1.00,1.00
,HIBACHI,speed,high stream,16,15.60,0.40,0.40
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.40,0.60,0.60
,Double Universe x1.2,jack,mid chordjack,16,15.60,0.40,0.40
,Infinity Heaven(180bpm),jack,high chordjack,16,16.00,0.00,0.00
,Runengon(efv3),stamina,dense handstream,15.7,15.60,0.10,0.10
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,15.40,0.20,0.20
,Vertex Beta(spz cut),jack,mid chordjack,15.6,14.40,1.20,1.20
,Deadly force - Put an end,stamina,dense handstream,15.4,15.20,0.20,0.20
,Finixe(zeta) x1.1,speed,low stream,15.4,15.80,-0.40,0.40
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,15.00,0.20,0.20
,Matusa Bomber x1.3,tech,stream tech,15,15.20,-0.20,0.20
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,14.80,0.20,0.20
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,14.60,0.40,0.40
,Mario Point[D-Another],speed,low stream,15,15.00,0.00,0.00
,Shuuten,speed,high stream,15,15.00,0.00,0.00
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,14.80,0.20,0.20
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,14.60,0.40,0.40
,Nhelv(e9v3),tech,stream tech,14.8,15.00,-0.20,0.20
,Kimi to bokueno sousouka,speed,Unsigned,14.8,15.00,-0.20,0.20
,Shuu no hazama,tech,stream tech,14.7,14.80,-0.10,0.10
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.80,-0.10,0.10
,Ash Statues(rachel),stamina,dense jumpstream,14.6,14.40,0.20,0.20
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.40,0.20,0.20
,Amatsukami x1.15,speed,high stream,14.6,14.60,0.00,0.00
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.80,-0.20,0.20
,Tactical Railroad(ATTang),speed,high stream,14.6,13.60,1.00,1.00
,Hayabusa(e8v3),jack,high chordjack,14.6,14.40,0.20,0.20
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.60,0.00,0.00
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.40,0.10,0.10
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.60,-0.10,0.10
,Paraclete -Miracle,speed,low stream,14.5,14.60,-0.10,0.10
,Alpha,tech,stream tech,14.4,14.20,0.20,0.20
,Ankoku Butoukai,tech,mix tech,14.4,14.00,0.40,0.40
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,13.60,0.80,0.80
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.20,0.20,0.20
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,13.60,0.80,0.80
,STRONG 280(11bit),stamina,dense handstream,14.4,13.60,0.80,0.80
,Pine Nut,speed,high stream,14.4,14.00,0.40,0.40
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.00,0.40,0.40
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,14.00,0.00,0.00
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,13.80,0.20,0.20
,Quadraphinix x1.5,stamina,dense handstream,14,13.60,0.40,0.40
,Volcanic(delta),speed,high stream,14,13.40,0.60,0.60
,STRONG 280(isxi),jack,dense chordjack,14,13.40,0.60,0.60
,Aquaris(snover) x1.3,jack,low chordjack,14,13.40,0.60,0.60
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,14.00,-0.20,0.20
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.00,0.60,0.60
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,13.40,0.20,0.20
,The Empress(delta),stamina,dense handstream,13.6,13.00,0.60,0.60
,Nopea,speed,mid stream,13.6,13.40,0.20,0.20
,Pastel Subliminal,speed,Unsigned,13.5,13.40,0.10,0.10
,Extraction,tech,Unsigned,13.4,13.00,0.40,0.40
,Tornado [Devastation](interliser),tech,mix tech,13.4,11.60,1.80,1.80
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,12.60,0.80,0.80
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,12.80,0.60,0.60
,Angel Dust(tachyon),speed,high stream,13.4,12.40,1.00,1.00
,Defeat awaken battle ship,jack,high chordjack,13.4,12.40,1.00,1.00
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,12.40,0.60,0.60
,Reflec Streamz(gamma),speed,low stream,13,13.20,-0.20,0.20
,Break(loved) x1.1,jack,high chordjack,13,12.80,0.20,0.20
,Sendan Life(OpakyL),jack,dense chordjack,13,11.80,1.20,1.20
,Unsan-musho,tech,stream tech,12.8,12.40,0.40,0.40
,Sonesaki Shinju(sp5v2) x0.925,speed,Unsigned,12.7,12.40,0.30,0.30
,Fastest Crash (gamma),tech,stream tech,12.6,12.40,0.20,0.20
,Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),stamina,dense jumpstream,12.6,12.20,0.40,0.40
,The Truth Never Spoken,jack,mid chordjack,12.6,11.80,0.80,0.80
,Bring Our Ignition Back x1.1,jack,mid chordjack,12.6,11.80,0.80,0.80
,Japanese Transformation(fullerene),stamina,dense jumpstream,12.5,11.80,0.70,0.70
,Crystal World -Fracture-,speed,Unsigned,12.5,12.60,-0.10,0.10
,IMAGE -MATERIAL- Version 0(luminal),stamina,light handstream,12.4,11.60,0.80,0.80
,Lolit Speed,stamina,dense jumpstream,12.4,9.60,2.80,2.80
,Pure Ruby,speed,Unsigned,12.4,11.80,0.60,0.60
,Odin(fullerene),speed,high stream,12.4,11.20,1.20,1.20
,Mario Point[D-Hyper],speed,low stream,12.4,9.80,2.60,2.60
,ZENITHALIZE,jack,high chordjack,12.4,11.80,0.60,0.60
,IMAGE -MATERIAL- Version 0(fullerene),stamina,light handstream,12.3,11.60,0.70,0.70
,YELL!(e4v2),speed,Unsigned,12.2,11.40,0.80,0.80
,Asymmetrical Grooves,tech,Unsigned,12,11.80,0.20,0.20
,Blue Planet,tech,stream tech,12,11.80,0.20,0.20
,Time to Say Goodbye(beta),stamina,dense jumpstream,12,11.80,0.20,0.20
,Amber Starlight(beta),speed,low stream,12,11.20,0.80,0.80
,Paradigm Shift(beta),jack,high chordjack,12,11.60,0.40,0.40
,Edison(e3v3) x1.15,jack,mid chordjack,12,11.20,0.80,0.80
,Akasha(sp3v2) x0.88,speed,Unsigned,11.7,9.60,2.10,2.10
,End Time(e3v2) x1.1,speed,Unsigned,11.5,10.00,1.50,1.50
,INTERNET OVERDOSE x1.05,tech,stream tech,11.4,11.60,-0.20,0.20
,Euthanasia x1.05,speed,Unsigned,11.2,10.20,1.00,1.00
,LazorBeamz,stamina,light jumpstream,11,10.00,1.00,1.00
,Makiba(alpha),speed,low stream,11,10.40,0.60,0.60
,Dark Sambaland,jack,high chordjack,11,10.40,0.60,0.60
,Odoru Mizushibuki x1.1,tech,jack tech,10.8,9.80,1.00,1.00
,Towards the Horizon,tech,Unsigned,10.8,10.00,0.80,0.80
