bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,17.86,0.14,0.14
,The Fate of x1.425,stamina,light jumpstream,18,17.79,0.21,0.21
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,17.64,0.36,0.36
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,18.10,-0.30,0.30
,Exitium(eta),tech,stream tech,17.2,17.40,-0.20,0.20
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,16.65,0.55,0.55
,Torment Payback,jack,high chordjack,17.2,17.55,-0.35,0.35
,Collapse of Ego,stamina,dense jumpstream,16.8,16.92,-0.12,0.12
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.66,-0.06,0.06
,northern limit(haku) x1.1,tech,stream tech,16.4,16.73,-0.33,0.33
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.67,-0.27,0.27
,Angel Dust(spz),stamina,light handstream,16.4,16.20,0.20,0.20
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.36,0.04,0.04
,Nijuu(zeta),stamina,dense handstream,16.2,16.10,0.10,0.10
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.41,-0.21,0.21
,Apocalyptic Premonition x1.05,tech,stream tech,16,16.12,-0.12,0.12
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.39,-0.39,0.39
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.66,0.34,0.34
,HIBACHI,speed,high stream,16,16.05,-0.05,0.05
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.79,0.21,0.21
,Double Universe x1.2,jack,mid chordjack,16,16.20,-0.20,0.20
,Infinity Heaven(180bpm),jack,high chordjack,16,16.30,-0.30,0.30
,Runengon(efv3),stamina,dense handstream,15.7,16.00,-0.30,0.30
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,15.74,-0.14,0.14
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.27,0.33,0.33
,Deadly force - Put an end,stamina,dense handstream,15.4,15.80,-0.40,0.40
,Finixe(zeta) x1.1,speed,low stream,15.4,15.73,-0.33,0.33
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,14.80,0.40,0.40
,Matusa Bomber x1.3,tech,stream tech,15,15.34,-0.34,0.34
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,15.08,-0.08,0.08
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,15.30,-0.30,0.30
,Mario Point[D-Another],speed,low stream,15,15.35,-0.35,0.35
,Shuuten,speed,high stream,15,15.43,-0.43,0.43
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,14.94,0.06,0.06
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,15.09,-0.09,0.09
,Nhelv(e9v3),tech,stream tech,14.8,15.38,-0.58,0.58
,Kimi to bokueno sousouka,speed,Unsigned,14.8,15.01,-0.21,0.21
,Shuu no hazama,tech,stream tech,14.7,14.74,-0.04,0.04
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.92,-0.22,0.22
,Ash Statues(rachel),stamina,dense jumpstream,14.6,14.79,-0.19,0.19
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.84,-0.24,0.24
,Amatsukami x1.15,speed,high stream,14.6,14.97,-0.37,0.37
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.59,0.01,0.01
,Tactical Railroad(ATTang),speed,high stream,14.6,14.39,0.21,0.21
,Hayabusa(e8v3),jack,high chordjack,14.6,14.63,-0.03,0.03
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.92,-0.32,0.32
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.87,-0.37,0.37
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.79,-0.29,0.29
,Paraclete -Miracle,speed,low stream,14.5,14.48,0.02,0.02
,Alpha,tech,stream tech,14.4,13.73,0.67,0.67
,Ankoku Butoukai,tech,mix tech,14.4,13.79,0.61,0.61
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,14.05,0.35,0.35
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.16,0.24,0.24
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,13.83,0.57,0.57
,STRONG 280(11bit),stamina,dense handstream,14.4,14.30,0.10,0.10
,Pine Nut,speed,high stream,14.4,14.21,0.19,0.19
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.27,0.13,0.13
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,13.84,0.16,0.16
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,13.93,0.07,0.07
,Quadraphinix x1.5,stamina,dense handstream,14,14.04,-0.04,0.04
,Volcanic(delta),speed,high stream,14,14.23,-0.23,0.23
,STRONG 280(isxi),jack,dense chordjack,14,14.04,-0.04,0.04
,Aquaris(snover) x1.3,jack,low chordjack,14,13.92,0.08,0.08
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,13.81,-0.01,0.01
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.66,-0.06,0.06
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,13.78,-0.18,0.18
,The Empress(delta),stamina,dense handstream,13.6,13.48,0.12,0.12
,Nopea,speed,mid stream,13.6,13.87,-0.27,0.27
,Pastel Subliminal,speed,Unsigned,13.5,14.18,-0.68,0.68
,Extraction,tech,Unsigned,13.4,13.43,-0.03,0.03
,Tornado [Devastation](interliser),tech,mix tech,13.4,13.05,0.35,0.35
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,13.18,0.22,0.22
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,13.28,0.12,0.12
,Angel Dust(tachyon),speed,high stream,13.4,13.25,0.15,0.15
,Defeat awaken battle ship,jack,high chordjack,13.4,13.21,0.19,0.19
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,12.99,0.01,0.01
,Reflec Streamz(gamma),speed,low stream,13,13.38,-0.38,0.38
,Break(loved) x1.1,jack,high chordjack,13,12.79,0.21,0.21
,Sendan Life(OpakyL),jack,dense chordjack,13,12.62,0.38,0.38
,Unsan-musho,tech,stream tech,12.8,12.93,-0.13,0.13
